studentId,studentName,studentIdNumber,status,overallScore,progressPercent,answeredCount,totalQuestions,submittedAt,gradedAt,attemptNumber,aiCommitmentSigned,totalTimeSpentMs,avgTypingSpeed,totalAttempts,totalCharactersTyped,totalEditsCount,totalCopyPasteCount,totalShowAnswerClicks,avgTimeToFirstShowAnswer,totalExecutions,hintsUsedTotal,confidenceAvg,aiAssistanceUsedCount
"68f080c5b12119f72a11a1f2","","","in_progress","0","18","2","11","","","1","0","27140","102","0","46","48","0","0","","0","0","","0"
"68f080c5b12119f72a11a1f1","","","in_progress","0","27","3","11","","","1","0","167289928","49","2","166","5","0","40","4904918","2","0","","0"
"68f080c5b12119f72a11a1f2/homework","","","in_progress","0","0","0","11","","","1","0","0","0","0","0","0","0","0","","0","0","","0"
"68f080c5b12119f72a11a21f","","","in_progress","0","91","10","11","","","1","0","5714242","49.8","28","4101","4243","0","26","239333","28","0","","0"
"68f080c5b12119f72a11a22b","","","in_progress","0","27","3","11","","","1","0","1033739","39.5","12","495","156","0","4","244888","12","0","","0"
"68f080c5b12119f72a11a210","","","in_progress","0","18","2","11","","","1","0","2828627","50","49","2491","731","0","8","627329","49","0","","0"
"68f080c5b12119f72a11a206","","","in_progress","0","18","2","11","","","1","0","1777246687","0","24","2213","247","0","7","887795079","24","0","","0"
"68f080c5b12119f72a11a212","","","in_progress","0","64","7","11","","","1","0","2705094","62.2","36","3358","1162","0","15","351882","35","0","","0"
"68f080c5b12119f72a11a219","","","in_progress","0","0","0","11","","","1","0","109977","4","0","7","9","0","0","","0","0","","0"
"68f080c5b12119f72a11a228","","","submitted","0","127","14","11","2026-02-25T15:41:39.524Z","","2","0","6875946","99.8","57","6153","2872","0","31","402595","57","0","","0"
"209422609","","","submitted","0","9","1","11","2026-02-25T15:14:36.972Z","","2","0","166991","14","2","39","50","0","0","","1","0","","0"
"68f080c5b12119f72a11a1f9","","","in_progress","0","0","0","11","","","1","0","0","0","0","0","0","0","0","","0","0","","0"
"68f080c5b12119f72a11a214","","","submitted","0","109","12","11","2026-02-26T12:29:54.078Z","","3","0","13768476","28.2","46","4970","3119","0","7","742848","46","0","","0"
"68f080c5b12119f72a11a21e","","","in_progress","0","45","5","11","","","1","0","3548871","48.2","32","2105","976","0","8","739169","32","0","","0"
"68f080c5b12119f72a11a207","","","in_progress","0","36","4","11","","","1","0","1224497","27.7","6","601","571","0","6","249503","6","0","","0"
"68f080c5b12119f72a11a217","","","in_progress","0","9","1","11","","","1","0","1275461","14","11","299","261","0","3","25304","11","0","","0"
"68f080c5b12119f72a11a1ff","","","in_progress","0","9","1","11","","","1","0","495824","7","0","58","41","0","4","100146","0","0","","0"
"68f080c5b12119f72a11a222","","","in_progress","0","73","8","11","","","1","0","6783541","24.4","24","2367","2035","0","22","635875","24","0","","0"
"68f080c5b12119f72a11a225","","","in_progress","0","0","0","11","","","1","0","5206","46","0","4","8","0","0","","0","0","","0"
"68f080c5b12119f72a11a1f8","","","in_progress","0","0","0","11","","","1","0","0","0","0","0","0","0","0","","0","0","","0"
"68f080c5b12119f72a11a221","","","in_progress","0","9","1","11","","","1","0","2043312","11","0","369","60","0","1","1963226","0","0","","0"
"68f080c5b12119f72a11a21b","","","in_progress","0","100","11","11","","","1","0","14852647","46.2","58","5422","1605","0","34","819247","58","0","","0"
"68fdc3ee0499789718923aa9","","","in_progress","0","200","22","11","","","1","0","60695469","15.4","43","3796","3413","0","0","","43","0","","0"
"68f080c5b12119f72a11a202","","","in_progress","0","127","14","11","2026-02-27T13:04:07.831Z","","2","0","27999344","14.5","69","3742","3514","0","11","1685445","69","0","","0"
"68f080c5b12119f72a11a216","","","in_progress","0","0","0","11","","","1","0","0","0","0","0","0","0","0","","0","0","","0"
"68f080c5b12119f72a11a21a","","","in_progress","0","127","14","11","","","1","0","22796697","31.3","108","9774","5270","0","25","933936","107","0","","0"
"69397a28de66e3f8239019ef","","","submitted","0","164","18","11","2026-03-09T13:46:15.030Z","","2","0","18651663","33.2","69","3464","2479","0","35","1295308","69","0","","0"
"68f080c5b12119f72a11a20a","","","in_progress","0","118","13","11","","","1","0","74801485","38.6","71","8877","2858","0","22","1394436","71","0","","0"
"68f080c5b12119f72a11a204","","","in_progress","0","9","1","11","","","1","0","1016198","15","1","252","385","0","1","1016198","1","0","","0"
"69390f49d874a96f562658ff","","","in_progress","0","27","3","11","","","1","0","0","0","0","0","0","0","0","","0","0","","0"
"68f080c5b12119f72a11a20b","","","in_progress","0","18","2","11","","","1","0","1501470","28","9","583","519","0","0","","9","0","","0"
"68f080c5b12119f72a11a22c","","","in_progress","0","18","2","11","","","1","0","527420","24","0","209","4","0","6","130361","0","0","","0"
"69d8a8e15ab600e8c9113482","","","in_progress","0","0","0","11","","","1","0","2497998","0","0","0","0","0","14","251984","0","0","","0"
"69d8f26981837af5ed5d9766","","","submitted","0","100","11","11","2026-04-10T16:39:51.190Z","","2","0","13584433","51.2","59","5007","2249","0","36","1001073","59","0","","0"
"69d906b166a26353acb9af2f","","","in_progress","0","82","9","11","","","1","0","11445151","25.6","32","2160","1989","0","18","340883","32","0","","0"
"69d9ee5a4863e60ec239c89b","","","submitted","0","100","11","11","2026-04-12T09:01:20.360Z","","2","0","90309598","10.2","69","3832","2387","0","25","8914686","69","0","","0"
"69d9effa4863e60ec239c89d","","","submitted","0","100","11","11","2026-04-11T10:53:26.633Z","","3","0","13959441","31.3","116","6208","5230","0","0","","116","0","","0"
"123456789","","","in_progress","0","100","11","11","","","1","0","1312920071","46.3","47","3992","3354","0","35","502614","47","0","","0"
"69da147418e7591f6967902c","","","in_progress","0","100","11","11","2026-04-11T12:54:09.924Z","","3","0","20749097","24.8","31","4218","2405","0","50","1178356","31","0","","0"
"69da384ac67d26e0f28c30ec","","","in_progress","0","45","5","11","","","1","0","3917979","45.4","16","2236","56","0","13","508624","16","0","","0"
"69da3b63e3a06cf325d1548d","","","in_progress","0","0","0","11","","","1","0","18706313","0","0","22","23","0","22","1431035","0","0","","0"
"69da6ea91e779e64b157488d","","","in_progress","0","9","1","11","","","1","0","115098619","0","0","44","48","0","2","57549310","0","0","","0"
"69d8ea7f43a73c19177ccfb9","","","in_progress","0","100","11","11","","","1","0","15698058","17","20","2009","1432","0","0","","20","0","","0"
"69db45829836625bcc980385","","","submitted","0","100","11","11","2026-04-14T13:08:12.397Z","","4","0","20592144","18.8","39","3464","3117","0","55","917853","39","0","","0"
"69db51411769d7b57bafd589","","","in_progress","0","0","0","11","","","1","0","49681587","0","0","0","0","0","16","5290058","0","0","","0"
"69db582e3df90c58e94ed892","","","in_progress","0","55","6","11","","","1","0","1391119","40.5","7","937","468","0","2","557393","7","0","","0"
"69db5d89bf042ec82c61ecf9","","","submitted","0","100","11","11","2026-04-12T11:37:21.352Z","","2","0","7595120","35.5","40","3490","1811","0","19","473738","40","0","","0"
"69db662f9d634272a74c5c84","","","in_progress","0","9","1","11","","","1","0","320090","3","0","15","15","0","4","94160","0","0","","0"
"69db76904d38c8a5fc8bf972","","","in_progress","0","0","0","11","","","1","0","31923","0","0","0","0","0","7","4762","0","0","","0"
"69db81624d38c8a5fc8bfa6e","","","in_progress","0","36","4","11","","","1","0","6217839","72.3","10","1930","1135","0","15","330269","10","0","","0"
"69db8d43fefcfc58d655c8a8","","","in_progress","0","100","11","11","","","1","0","112237905","18.5","48","3982","3224","0","16","11103380","48","0","","0"
"69db9dce7014c141bed64fa8","","","submitted","0","100","11","11","2026-04-13T18:54:57.233Z","","2","0","154879895","23.2","54","4328","3414","0","50","7069850","54","0","","0"
"69dbb8309102aa42cf361dc5","","","in_progress","0","9","1","11","","","1","0","0","0","0","0","0","0","0","","0","0","","0"
"69dbb86a9102aa42cf361dc6","","","in_progress","0","0","0","11","","","1","0","11481","0","0","0","0","0","2","5741","0","0","","0"
"69dbe4e80076a8aa7e45367b","","","in_progress","0","91","10","11","","","1","0","7423097","27.3","1","1844","1645","0","18","575130","1","0","","0"
"69dd378cc1b57c9a092314bd","","","in_progress","0","0","0","11","","","1","0","90646","6","0","9","17","0","0","","0","0","","0"
"69dc88b3a53ae625650e9297","","","in_progress","0","36","4","11","","","1","0","5526917","13","4","416","184","0","16","390391","4","0","","0"
"69da3b65c56e74fce08be701","","","in_progress","0","9","1","11","","","1","0","1067287","1","0","14","19","0","2","948190","0","0","","0"
"69de434e8eea1b1ff1cd2905","","","in_progress","0","9","1","11","","","1","0","361195","28","3","168","165","0","0","","3","0","","0"
"69dc950b4d9fcabe3cc2355a","","","in_progress","0","0","0","11","","","1","0","45083","1","0","1","1","0","0","","0","0","","0"
"69de85868c7894b21c8f81c0","","","in_progress","0","100","11","11","","","1","0","152367862","20.5","18","2444","1700","0","18","482076","18","0","","0"
"69de955c5489ec4f1c2debfa","","","submitted","0","100","11","11","2026-04-15T08:28:17.074Z","","2","0","47354259","24.9","26","4010","2371","0","28","4397265","26","0","","0"
"69df0d5941eab6203825c856","","","submitted","0","100","11","11","2026-04-15T08:27:53.381Z","","2","0","11416597","37.8","31","3043","2539","0","52","917510","31","0","","0"
"69df45d648fd21e0d708cbd6","","","submitted","0","100","11","11","2026-04-15T12:32:54.461Z","","3","0","30055062","20.5","81","4634","2461","0","0","","81","0","","0"
"69dbc1306945e7f88bad7d10","","","in_progress","0","0","0","11","","","1","0","2137134","0","0","0","0","0","16","156960","0","0","","0"